NameModern,NameAncient,LocationAncient,LocationModern,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Notes1,Citation1,Plan1,Plan2,Function1,Function2,Commisioner,Domed,Marble,Roofing,TimberRoof,Mosaic,NumberAisles,Gallery,Exonarthex,Atrium,Ambulatory
Basilica B,Basilica B,Nikopolis,Epiros,39.01229,20.7336,Archaeological Excavation,"https://www.google.com/maps/place/39%C2%B000'44.2%22N+20%C2%B044'01.0%22E/@39.0122467,20.7333362,133m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d39.01229!4d20.7336",80,480,474,491,480,"Approximation; Location deduced from building plan Curcic, 131","Curcic, 131",Basilica,Cross-transept,Church,nul,Zeno,nul,nul,nul,Yes,nul,5,nul,nul,Yes,Yes
Basilica Euphrasiana,Basilica Euphrasiana,Parentium,Porec,45.2286375,13.5912896,Extant,"https://www.google.com/maps/place/Euphrasian+Basilica/@45.2286375,13.5912896,723m/data=!3m2!1e3!4b1!4m5!3m4!1s0x477c977680ed44bb:0xa0fb31b7abad2aaf!8m2!3d45.2286337!4d13.5934783",100,550,500,600,550,Approximation,"Curcic, 219-220",Basilica,nul,Church,nul,nul,nul,Yes,Vaulted,Yes,Yes,3,nul,Yes,Yes,Yes
Epidauros Basilica,Epidauros Basilica,Epidauros,Asklipeio,37.5993275,23.0753477,Archaeological Excavation,"https://www.google.com/maps/place/Epidavros+210+52,+Greece/@37.5993275,23.0753477,133m/data=!3m1!1e3!4m5!3m4!1s0x149f8bc7c6e350b1:0xd5f76e300ede1832!8m2!3d37.5958432!4d23.0768899",60,400,400,400,400,Style of mosaics,"Krauthemier, 91",Basilica,nul,Church,nul,nul,nul,Yes,nul,nul,Yes,4,nul,Yes,Yes,nul
Isperihovo,Isperihovo Monastery ,Isperihovo,Isperihovo,42.085198,24.428713,Conjecture,"https://www.google.com/maps/place/42%C2%B005'06.7%22N+24%C2%B025'43.4%22E/@42.0851995,24.4278961,285m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sarchaeological+sites+near+Isperihovo,+Bulgaria!3m5!1s0x0:0x0!7e2!8m2!3d42.0851984!4d24.4287132",50,450,400,500,450,Location is of village in which the monastery was named after. Approximate date,"Curcic, 143",Basilica,nul,Church,Monastery,nul,nul,nul,nul,Yes,nul,1,nul,Yes,Yes,nul
Martyrium at Beroe,Martyrium at Beroe,Augusta Traiana,Stara Zagora,42.430838,25.629597,Conjecture,"https://www.google.com/maps/place/42%C2%B025'51.0%22N+25%C2%B037'46.6%22E/@42.4308394,25.6288416,262m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d42.4308384!4d25.6295971",50,400,350,450,400,"Google satellite, based on approximate location by Curcic, 147","Curcic, 147",Central-plan,Tetraconch,Martyrium,nul,nul,nul,nul,Vaulted,nul,nul,0,nul,Yes,Yes,nul
Episcopal Basilica,Episcopal Basilica,Stobi,Rosoman,41.551889,21.974022,Archaeological Excavation,"https://www.google.com/maps/place/41%C2%B033'06.8%22N+21%C2%B058'26.5%22E/@41.5518904,21.9732638,266m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d41.5518889!4d21.9740223",90,425,400,450,425,"Approximate date; Location based on map in Curcic, 113","Curcic, 113",Basilica,nul,Church,nul,nul,nul,nul,nul,nul,Yes,3,Yes,Yes,nul,nul
St. Sophia Church,St. Sophia Church,Serdica,Sofia,42.696548,23.331353,Extant,"https://www.google.com/maps/place/42%C2%B041'47.6%22N+23%C2%B019'52.9%22E/@42.696549,23.3308058,189m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d42.6965482!4d23.3313532",100,550,500,600,550,Consensus among scholars is sixth century; approximation,"Curcic, 205-6",Basilica,nul,Church,Cathedral,nul,Yes,nul,Barrel-vaulted,nul,nul,3,nul,Yes,nul,Yes
Hagiasma of Hagios Ioannis,St. John the Baptist Orthodox Church,Salonica,Thessaloniki,40.632311,22.946864,Archaeological Excavation,"https://www.google.com/maps/place/40%C2%B037'56.3%22N+22%C2%B056'48.7%22E/@40.632312,22.9463168,195m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d40.6323106!4d22.9468637",80,400,400,400,400,"Approximation; Location based on map Curcic, 105","Curcic, 130",Hexagonal,nul,Baptistry,nul,nul,Yes,Yes,nul,nul,nul,0,nul,nul,nul,nul
Second Basilica under Hagia Sophia,Hagia Sophia,Salonica,Thessaloniki,40.632961,22.946669,Documentary Evidence,"https://www.google.com/maps/place/40%C2%B037'58.7%22N+22%C2%B056'48.0%22E/@40.632962,22.9461218,195m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d40.632961!4d22.946669",100,400,400,400,400,Approximation,"Curcic, 105",Basilica,nul,Church,nul,nul,nul,Yes,nul,nul,Yes,5,nul,Yes,Yes,nul
St. Leonidas,Hagios Leonidas,Lechaion,Lechaion,37.93411,22.88491,Archaeological Excavation,"https://www.google.com/maps/place/37%C2%B056'02.6%22N+22%C2%B053'04.4%22E/@37.9340441,22.8840068,203m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x0:0x0!2zMzfCsDU2JzAyLjgiTiAyMsKwNTMnMDUuNyJF!3b1!8m2!3d37.93411!4d22.88491!3m5!1s0x0:0x0!7e2!8m2!3d37.9340435!4d22.8845537",100,455,450,460,455,"Main part constructed between 450-60; Location based off plan in Curcic, 127","Krauthemier, 100",Basilica,Cross-transept,Church,nul,nul,Yes,Yes,Vaulted,Yes,Yes,3,nul,Yes,Yes,nul
Ilissos Basilica,Ilissos Basilica,Ilissos,Ilissos,37.968248,23.73826,Archaeological Excavation,"https://www.google.com/maps/place/37%C2%B058'05.7%22N+23%C2%B044'10.4%22E/@37.96825,23.7351773,382m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d37.968248!4d23.736209",60,400,400,450,400,Date from mosaics; Google satellite,"Krauthemier, 92",Basilica,Cross-transept,Church,nul,nul,Yes,nul,nul,nul,Yes,3,nul,Yes,nul,nul
Library of Hadrian,The Great Panagia,Athens,Athens,37.975361,23.726674,Archaeological Excavation,"https://www.google.com/maps/place/37%C2%B058'31.3%22N+23%C2%B043'36.0%22E/@37.9753621,23.7261268,202m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d37.975361!4d23.726674",100,420,410,430,420,"Location based on maps in Curcic, 124","Curcic, 124",Tetraconch,nul,Church,Cathedral,nul,nul,Yes,nul,nul,Yes,1,Yes,Yes,Yes,Yes
Basilica A,Basilica A,Philippi,Filippoi,41.012975,24.284467,Archaeological Excavation,"https://www.google.com/maps/place/41%C2%B000'46.7%22N+24%C2%B017'04.1%22E/@41.012976,24.2839198,194m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d41.012975!4d24.284467",90,500,480,520,500,Location based on map in Curic 116,"Curcic, 118",Basilica,Cross-transept,Church,nul,nul,nul,Yes,Vaulted,nul,nul,3,Yes,Yes,Yes,Yes
Basilica B,Basilica B,Philippi,Filippoi,41.011919,24.282741,Archaeological Excavation,"https://www.google.com/maps/place/41%C2%B000'42.9%22N+24%C2%B016'57.9%22E/@41.01192,24.2821902,195m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sPhilippi+church!3m5!1s0x0:0x0!7e2!8m2!3d41.0119187!4d24.2827409",90,540,530,560,540,Date generally agreed by scholars,"Curcic, 207-08",Basilica,Cross-transept,Church,nul,nul,Yes,Yes,Vaulted,nul,nul,2,nul,Yes,nul,Yes
Philippi Octagonal Church,Philippi Octagonal Church,Philippi,Filippoi,41.01164,24.2844,Archaeological Excavation,"https://www.google.com/maps/place/41%C2%B000'41.9%22N+24%C2%B017'03.8%22E/@41.011641,24.2838528,194m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sPhilippi+church!3m5!1s0x0:0x0!7e2!8m2!3d41.0116401!4d24.2843996",90,520,500,540,520,Date approximation based on style,"Curcic, 114-16",Octagonal,Square,Church,nul,nul,nul,Yes,nul,nul,nul,1,nul,Yes,Yes,Yes
Dubrovnik Cathedral,Ragusium Cathedral,Ragusium,Dubrovnik,42.639861,18.1103,Conjecture,"https://www.google.com/maps/place/42%C2%B038'23.5%22N+18%C2%B006'37.1%22E/@42.6398624,18.1095317,265m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d42.6398606!4d18.1103002",80,550,550,550,550,Based on wooden roofs & barrel-vaulting style,"Curcic, 223-4",Basilica,nul,Church,Cathedral,nul,nul,nul,Barrel-vaulted,Yes,nul,3,nul,nul,nul,Yes
Basilica III,Basilica III,Romuliana,Gamzigrad,43.898851,22.18598,Archaeological Excavation,"https://www.google.com/maps/place/43%C2%B053'55.9%22N+22%C2%B011'09.5%22E/@43.8988548,22.1837913,740m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x47540c57a9a51425:0xa189314a3d0351e4!2sGamzigrad,+Serbia!3b1!8m2!3d43.9094879!4d22.1752836!3m5!1s0x0:0x0!7e2!8m2!3d43.8988512!4d22.1859798",70,450,400,500,450,Approximation,"Curcic, 225",Basilica,nul,Church,nul,nul,nul,nul,Barrel-vaulted,Yes,nul,3,nul,Yes,nul,nul
Basilica C,Basilica C,Gradina/Jelica,Gradina/Jelica,43.829656,20.310405,Conjecture,"https://www.google.com/maps/@43.8296598,20.3082163,741m/data=!3m1!1e3",40,450,400,500,450,Approximation based on style,"Curcic, 225-6",Basilica,nul,Church,Cathedral,nul,nul,nul,nul,Yes,nul,1,nul,Yes,nul,Yes
Basilica A,Basilica A,Gradina/Jelica,Gradina/Jelica,43.829643,20.310771,Conjecture,"https://www.google.com/maps/place/43%C2%B049'46.7%22N+20%C2%B018'38.8%22E/@43.8296444,20.3099813,267m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d43.8296426!4d20.3107706",40,450,400,500,450,Approximation,"Curcic, 226",Basilica,nul,Funerary,nul,nul,nul,nul,nul,Yes,nul,1,nul,Yes,nul,Yes
Ras Basilica,Ras Basilica,Ras,Stari Ras,43.13173,20.421859,Archaeological Excavation,"https://www.google.com/maps/place/43%C2%B007'54.2%22N+20%C2%B025'18.7%22E/@43.1317317,20.4209155,323m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sRas+Serbia!3m5!1s0x0:0x0!7e2!8m2!3d43.1317299!4d20.4218591",70,535,525,550,535,"Based on location description in Curcic, 226","Curcic, 226",Basilica,nul,Church,nul,nul,nul,nul,nul,nul,nul,3,nul,Yes,nul,Yes
Bregovina Basilica,Bregovina Basilica,Bregovina,Bregovina,43.08197,21.570329,Conjecture,"https://www.google.com/maps/place/43%C2%B004'55.1%22N+21%C2%B034'13.2%22E/@43.081973,21.5686502,575m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x4755ed4b9451b941:0xdca06b54a503e3a8!2sBregovina,+Serbia!3b1!8m2!3d43.0770976!4d21.562554!3m5!1s0x0:0x0!7e2!8m2!3d43.08197!4d21.5703289",70,550,520,580,550,Google Satellite; Location of village surrounding the ruin; Close date to Justiniana-Prima churches,"Curcic, 227",Basilica,nul,Church,nul,nul,nul,Yes,nul,nul,nul,3,Yes,Yes,nul,nul
Curline Basilica,Curline Basilica,Curline ,Curlina,43.261998,21.880728,Documentary Evidence,"https://www.google.com/maps/place/43%C2%B015'43.2%22N+21%C2%B052'50.6%22E/@43.2619994,21.8799502,266m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x4755bba568225a33:0x87750693f4bc11cb!2s%C4%86urlina,+Serbia!3b1!8m2!3d43.2747279!4d21.8873794!3m5!1s0x0:0x0!7e2!8m2!3d43.2619983!4d21.8807283",70,550,520,580,550,Similar date with Justiniana-Prima because could be work of same masons; later structure sits atop currently,"Curcic, 227",Basilica,nul,Church,nul,nul,nul,Yes,Vaulted,Yes,nul,3,nul,Yes,nul,nul
Kamenica Basilica,Kamenica Basilica,Kalata Lake,Kalata Lake,41.991875,22.590369,Documentary Evidence,"https://www.google.com/maps/place/41%C2%B059'30.8%22N+22%C2%B035'25.3%22E/@41.9918764,22.5896201,261m/data=!3m1!1e3!4m14!1m7!3m6!1s0x135587c0aec3eb8b:0x5dfc9c375d057aaa!2sKalata!3b1!8m2!3d41.9849411!4d22.5906259!3m5!1s0x0:0x0!7e2!8m2!3d41.9918751!4d22.5903694",60,550,500,600,550,"Location approximation based on description in Curcic, 227; Date from Finey, 217","Curcic, 227",Basilica,nul,Church,nul,nul,nul,nul,Vaulted,nul,nul,3,nul,Yes,nul,Yes
Church at Knossos,Church at Knossos,Knossos,Knosos,35.3060038,25.0819313,Documentary Evidence,"https://www.google.com/maps/place/University+of+Crete+Medical+School/@35.3060038,25.0819313,838m/data=!3m1!1e3!4m12!1m6!3m5!1s0x149a5779b4946629:0xc7fc4581514ea401!2sUniversity+of+Crete+Medical+School!8m2!3d35.3059994!4d25.08412!3m4!1s0x149a5779b4946629:0xc7fc4581514ea401!8m2!3d35.3059994!4d25.08412",60,400,400,400,400,"Approximate date; Excavation destroyed to make University of Crete Medical School, Curcic, 153","Curcic, 153",Basilica,Triconch,Church,Cemetary,nul,Yes,nul,Vaulted,nul,Yes,3,nul,Yes,Yes,nul
Ancient Church of St. Mary,Church of St. Mary,Ephesus,Selcuk,37.945049,27.339258,Archaeological Excavation,"https://www.google.com/maps/place/37%C2%B056'42.2%22N+27%C2%B020'21.3%22E/@37.9450504,27.3385399,266m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sBasilica+of+St.+Mary+ephesus!3m5!1s0x0:0x0!7e2!8m2!3d37.9450487!4d27.3392576",100,400,400,400,400,Google Satellite,"Krauthemier, 81",Basilica,nul,Church,Cathedral,nul,Yes,Yes,Pitched,nul,Yes,2,nul,Yes,Yes,Yes
Red Church,Red Church,Perustica,Perustica,42.07409,24.556144,Archaeological Excavation,"https://www.google.com/maps/place/42%C2%B004'26.7%22N+24%C2%B033'22.1%22E/@42.074092,24.5550497,381m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x0:0x0!2zNDLCsDA0JzI2LjciTiAyNMKwMzMnMTguMCJF!3b1!8m2!3d42.0740747!4d24.5549896!3m5!1s0x0:0x0!7e2!8m2!3d42.0740904!4d24.5561438",100,500,500,500,500,Style,"Krauthemier, 98",Tetraconch,nul,Church,nul,nul,Yes,nul,Vaulted,nul,nul,2,nul,Yes,nul,Yes
Forty Saints Monastery,Church of the Forty Martyrs,Saranda,Saranda,39.872275,20.021654,Archaeological Excavation,"https://www.google.com/maps/place/39%C2%B052'20.2%22N+20%C2%B001'18.0%22E/@39.8722764,20.0209208,264m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x135b148b2a8fecb5:0x21cab02aac4f6b8a!2sMonastery+of+40+Saints,+Sarand%C3%AB,+Albania!3b1!8m2!3d39.8725666!4d20.0212902!3m5!1s0x0:0x0!7e2!8m2!3d39.8722747!4d20.0216544",90,500,500,500,500,Style; Satellite,"Curcic, 242",Polyconchal,nul,Church,Monastery,nul,Yes,nul,Vaulted,nul,nul,1,Yes,Yes,nul,nul
Church of Archangel Michael,Church of Archangel Michael,Episkope-Kissamos,Episokpi,35.49083,23.763225,Extant,"https://www.google.com/maps/place/35%C2%B029'27.0%22N+23%C2%B045'47.6%22E/@35.4908311,23.7626778,209m/data=!3m2!1e3!4b1!4m13!1m6!3m5!1s0x149cf4caca646a9b:0x97013c930ff5d431!2sRotunda+Villas!8m2!3d35.4849186!4d23.7631201!3m5!1s0x0:0x0!7e2!8m2!3d35.4908297!4d23.7632247",100,550,500,600,550,Frescoes are sixth century ,"Curcic, 244",Basilica,Rotunda,Church,nul,nul,Yes,nul,Barrel-vaulted,nul,nul,2,nul,Yes,Yes,Yes
Temple of Panaya of Ekatontapiliani,Church of Katapoliane,Paros,Paros,37.084946,25.151718,Extant,"https://www.google.com/maps/place/37%C2%B005'05.8%22N+25%C2%B009'06.2%22E/@37.084948,25.1506745,391m/data=!3m2!1e3!4b1!4m13!1m6!3m5!1s0x14987105c27df02d:0x27cab3eb3e08fffd!2sTemple+of+Panaya+of+Ekatontapiliani!8m2!3d37.0849737!4d25.151731!3m5!1s0x0:0x0!7e2!8m2!3d37.0849457!4d25.1517179",100,380,350,400,380,Approximation,"Curcic, 236",Basilica,Cross-shaped,Church,nul,nul,Yes,nul,Vaulted,nul,nul,2,Yes,Yes,nul,Yes
