NameModern,NameAncient,AncientLocation1,AncientLocation2,AncientLocation3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Citation,ObjectType,Stance,DressStyle,HairStyle,Expression,HeightMeters,Material,Honorand,HonorandStatus,Awarder,AwarderStatus,Naturalism,RomanClassical,ReligionPresent,LanguageUsed,TextType
Portrait Head of Girl Fausta,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.85551,12.4822,Conjecture,Google Maps,50%,325,300,350,325,"Last Statues of Antiquity, University of Oxford",Head,None,None,Braided,Solemn,0.22,Marble,Unknown,Imperial Family,Unknown,Unknown,No,No,No,Null,Null
Portrait Bust of Woman,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.902783,12.530558,Conjecture,Google Maps,50%,380,360,400,380,"Last Statues of Antiquity, University of Oxford",Bust,None,Palla,Pulled Back,Solemn,0.66,Colored Marble,Unkown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portait Head for Insertion of Woman,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.921845,12.577876,Conjecture,Google Maps,50%,370,340,400,370,"Last Statues of Antiquity, University of Oxford",Head,None,None,Hair Cloth,Displeased,0.35,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portait Head for Insertion of Woman,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.924064,12.581205,Conjecture,Google Maps,50%,400,380,420,400,"Last Statues of Antiquity, University of Oxford",Head,None,Veiled,Hair Cloth,Pleased,0.35,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portrait Head for Insertion of Helena,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.939693,12.569233,Conjecture,Google Maps,50%,323,315,330,323,"Last Statues of Antiquity, University of Oxford",Statue,Seated,Himation,Encircling Braid,Pleased,1.23,Marble,Helena,Imperial Family,Unknown,Unknown,No,Yes,No,Null,Null
Portrait Head for Insertion of Woman With Full Face,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.85543,12.4819,Conjecture,Google Maps,50%,380,360,400,380,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Solemn,0.375,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman With Large Encircling Braid,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.945142,12.412633,Conjecture,Google Maps,50%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Head,None,Veiled,Encircling Braid,Solemn,0.3,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Portrait Head of Woman With Central Braid,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.902777,12.530543,Conjecture,Google Maps,50%,285,270,300,285,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Pleased,Not Given,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Portrait Head of Woman Recut from Second Century Portrait,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.921945,12.397862,Conjecture,Google Maps,50%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Head,None,None,Turban,Solemn,0.231,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portrait Head of Woman With Broad Central Braid,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.881653,12.45134,Conjecture,Google Maps,50%,280,260,300,280,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Displeased,0.22,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman on Statue of Hygeia,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.847644,12.499515,Conjecture,Google Maps,50%,325,300,350,325,"Last Statues of Antiquity, University of Oxford",Head,None,None,Pulled Back,Pleased,1.6,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portrait Bust of Woman Wearing Chiton and Undergarment,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.840474,12.560849,Conjecture,Google Maps,50%,325,300,350,325,"Last Statues of Antiquity, University of Oxford",Bust,None,Chiton,Central Braid,Displeased,Not Given,Marble,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Null,Null
Portrait Head of Woman With Encircling Braid On Alien Bust,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.85499,12.4809,Conjecture,Google Maps,50%,305,285,325,305,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Pleased,0.28,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman Set on Second Century Statue,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.885844,12.582863,Conjecture,Google Maps,50%,285,270,300,285,"Last Statues of Antiquity, University of Oxford",Statue,Contrapposto,Himation,Encircling Braid,Solemn,1.8,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Under Life Size Portrait of Woman With Tall Crown Braid,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.881611,12.513594,Conjecture,Google Maps,50%,275,260,290,275,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Solemn,Not Given,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Portrait Head of Woman With Tall Central Braid,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.881624,12.530533,Conjecture,Google Maps,50%,300,280,320,300,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Pleased,0.28,Marble,Unkown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Veiled Portrait Head of Woman Set on Draped Statue,Null,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,41.886431,12.510389,Conjecture,Google Maps,50%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Statue,Outreaching,Himation,Encircling Braid,Pleased,1.79,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Maybe,Null,Null
Portrait Head of a Woman,Null,Forum Sempronium,Italy North of Rome,Flaminia et Picenum,Fossombrone,Persaro and Urbino,Italy North of Rome,43.6865,12.808944,Archaeological Excavation,Google Maps,80%,325,300,350,325,"Last Statues of Antiquity, University of Oxford",Head,None,None,Partially Down,Pleased,0.3,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Empress,Null,Mediolanum,Italy North of Rome,Aemilia,Milan,Lombardy,Italy North of Rome,45.470167,9.198861,Archaeological Excavation,Google Maps,80%,550,525,575,550,"Last Statues of Antiquity, University of Oxford",Head,None,Jewelled,Unclear,Solemn,0.27,Marble,Theodora?,Imperial Family,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman With Central Braid From Aquileia,Null,Aquileia,Italy North of Rome,Venetia et Histria,Aquileia,Udine,Italy North of Rome,45.765273,13.364544,Archaeological Excavation,Google Maps,80%,375,250,300,375,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Solemn,0.18,Marble,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Null,Null
Portrait Head for Insertion of Woman with Crown Braid,Null,Aquileia,Italy North of Rome,Venetia et Histria,Aquileia,Udine,Italy North of Rome,45.765361,13.364806,Archaeological Excavation,Google Maps,80%,305,280,330,305,"Last Statues of Antiquity, University of Oxford",Head,None,None,Unclear,Solemn,0.25,Marble,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Null,Null
Fragment of Portrait Head of Woman With Long Broad Central Braid,Null,Aquileia,Italy North of Rome,Venetia et Histria,Aquileia,Udine,Italy North of Rome,45.765366,13.364848,Archaeological Excavation,Google Maps,80%,290,280,300,290,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Unclear,0.14,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman With Forceful Expression,Null,Aquileia,Italy North of Rome,Venetia et Histria,Aquileia,Udine,Italy North of Rome,45.764193,13.364474,Archaeological Excavation,Google Maps,80%,290,280,300,290,"Last Statues of Antiquity, University of Oxford",Head,None,None,Pulled Back,Forceful,0.21,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Fragmentary Base for Statue of Local Female Notable,Null,Verona,Italy North of Rome,Venetia et Histria,Verona,Verona (Province),Italy North of Rome,45.430071,11.002042,Archaeological Excavation,Google Maps,80%,325,270,380,325,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,0.68,Local Stone,Name Lost,Notable Family ,Son and Daughter of Honorand,Family Members,Null,None,Unknown,Latin,Prose
Base for Posthumous Statue of Helvidia Burrena Modesta,Null,Interamna Nahars,Italy North of Rome,Tuscia et Umbria,Terni,Terni (Province),Italy North of Rome,42.56403,12.632175,Archaeological Excavation,Google Maps,80%,338,338,338,338,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,Unknown,Unknown,Helvidia Burrena Modesta,"Local Notable, Patron of Interamna",Citizens of Interamna,Citizen Officials,Null,None,Unknown,Latin,Prose
Portrait Statue of Woman Playing Lyre,Null,Tarquinia,Italy North of Rome,Tuscia et Umbria,Tarquinia,Viterbo,Italy North of Rome,42.249268,11.761948,Archaeological Excavation,Google Maps,70%,288,260,315,288,"Last Statues of Antiquity, University of Oxford",Statue,Slouched seated,Himation,Encircling Braid,Pleased,1.25,Marble,Unknown,Unknown,Unknown,Unknown,No,No,Maybe cherub or normal baby?,Null,Null
Broken Second Century Base for Statue of Concordia,Null,Aquileia,Italy North of Rome,Venetia et Histria,Aquileia,Udine,Italy North of Rome,45.77002,13.370544,Archaeological Excavation,Google Maps,90%,360,350,370,360,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,0.82,Local Stone,Concordia and People of Aquileia,Deities and Heroes,Septimius Theodulus,Provincial Governor,Null,Null,Maybe mention of deities,Latin? not sure,Prose
Portrait Head of Woman with Stephane,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.865194,12.458739,Archaeological Excavation,Google Maps,90%,375,300,450,375,"Last Statues of Antiquity, University of Oxford",Head,None,None,Pulled Back,Solemn,0.275,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Empress,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.900744,12.490416,Archaeological Excavation,Google Maps,70%,400,350,450,400,"Last Statues of Antiquity, University of Oxford",Head,None,None,Turban,Pleased,0.28,Marble,Unknown,Imperial Family,Unknown,Unknown,No,No,No,Null,Null
Portrait Statue Reused for a Mother in Law,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.883663,12.504932,Archaeological Excavation,Google Maps,95%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Statue,Contrapposto,Himation,Veiled,Solemn,1.89,Marble,Unknown,Unknown,Eubulion,Family Members,Yes,No,No,Null,Null
Portrait Head for Insertion of Empress,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.895496,12.481854,Archaeological Excavation,Google Maps,70%,363,325,400,363,"Last Statues of Antiquity, University of Oxford",Head,None,Jewelled,Encircling Braid,Solemn,0.338,Marble,Unknown,Imperial Family,Unknown,Unknown,Yes,No,No,Null,Null
Portrait Head of Woman Possible Empress,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.878334,12.54381,Archaeological Excavation,Google Maps,80%,370,340,400,370,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Pleased,0.73,Marble,Fausta?,Imperial Family,Unknown,Unknown,Yes,No,No,Null,Null
Portrait Head of Empress in Lateran-Louvre,Ariadne-Amalasuntha,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.88652,12.505897,Archaeological Excavation,Google Maps,90%,503,480,525,503,"Last Statues of Antiquity, University of Oxford",Head,None,Jewelled,Diadem,Pleased,0.14,Marble,Ariadne,Imperial Family,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman Related to Lateran-Louvre,Ariadne-Amalasuntha,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.894721,12.490668,Archaeological Excavation,Google Maps,90%,503,480,525,503,"Last Statues of Antiquity, University of Oxford",Head,None,Jewelled,Diadem,Pleased,0.25,Marble,Ariadne or Amalasuntha or High Ranking Woman,Imperial Family,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Empress in Lateran-Louvre,Ariadne-Amalasuntha,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.897912,12.490659,Archaeological Excavation,Google Maps,80%,505,490,520,505,"Last Statues of Antiquity, University of Oxford",Head,None,Jewelled,Diadem,Pleased,0.257,Marble,Ariadne,Imperial Family,Unknown,Unknown,No,No,No,Null,Null
Lost Base for Statue of Miranda,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.892469,12.485261,Archaeological Excavation,Google Maps,90%,477,472,482,477,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,Unknown,Unknown,Minerva,Deities and Heroes,Anicius Acilius Aginatius Faustus,Prefect of the City,Null,Null,Deity Worship,Null,Null
"Base for Statue of Empress Helena, Mother of Constantine",Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.888136,12.515955,Archaeological Excavation,Google Maps,85%,328,325,330,328,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,1.43,Marble,Helena Mother of Constantine I,Imperial Family,"Iulius Maximilianus ""comes"" = companion",High Imperial Office Holder,Null,Null,No,Latin,Unclear
Portrait Head of Woman With Har in Bun on Statue of Aspasia-Sosandra Type,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.887105,12.446091,Archaeological Excavation,Google Maps,70%,325,300,350,325,"Last Statues of Antiquity, University of Oxford",Head,None,None,Bun,Solemn,0.25,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman With Crimped Locks and Encircling Braids,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.955385,12.467557,Archaeological Excavation,Google Maps,80%,325,300,350,325,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Solemn,0.25,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Seated Portrait Statue of Helena Capitoline-Florence Type,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.889856,12.510758,Archaeological Excavation,Google Maps,70%,328,315,340,328,"Last Statues of Antiquity, University of Oxford",Statue,Seated,Himation,Encircling Braid,Pleased,1,Marble,Helena,Imperial Family,Unknown,Unknown,Yes,Yes,No,Null,Null
Portrait Head for Insertion of Young Woman With Broad Encircling Braid,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.901937,12.523782,Archaeological Excavation,Google Maps,70%,340,320,360,340,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Pleased,0.31,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman With Large Encircling Braid Set on Modern Bust,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.880552,12.542527,Archaeological Excavation,Google Maps,80%,360,350,370,360,"Last Statues of Antiquity, University of Oxford",Head,None,None,Encircling Braid,Solemn,0.28,Marble,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Null,Null
Portrait Head of Woman With Toupee Hairstyle Transformed into Crown Braid,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.889382,12.487564,Archaeological Excavation,Google Maps,70%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Head,None,None,Unclear,Solemn,0.24,Marble,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Null,Null
Portrait Head of Severan Woman With Adjusted Physiognomy,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.883196,12.499896,Archaeological Excavation,Google Maps,80%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Head,None,None,Unclear,Displeased,0.225,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman With Central Braid Missing Most of Face,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.882888,12.499312,Conjecture,Google Maps,60%,285,270,300,285,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Unclear,0.25,Marble,Unknown,Unknown,Unknown,Unknown,No,No,No,Null,Null
Portrait Head of Woman With Central Braid and Separately Worked Hair Sections,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.892281,12.496479,Archaeological Excavation,Google Maps,90%,275,250,300,275,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Pleased,0.24,Marble,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,Null,Null
Re-worked Portrait Head of Imperial Woman For Insertion with Diadem,Null,Ostia,Rome,Roma (Province),Ostia,Lazio,Rome,41.756135,12.291335,Archaeological Excavation,Google Maps,80%,350,300,400,350,"Last Statues of Antiquity, University of Oxford",Head,None,None,Pulled Back,Pleased,0.33,Marble,Unknown,Imperial Family,Unknown,Unknown,Yes,No,No,Null,Null
Portrait Head of Woman With Central Braid That Reaches Brow,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.895057,12.4853,Archaeological Excavation,Google Maps,90%,280,260,300,280,"Last Statues of Antiquity, University of Oxford",Head,None,None,Central Braid,Unclear,0.2,Marble,Unknown,Unknown,Unknown,Unknown,Unclear,Unclear,No,Null,Null
Fragments of Base for Statue of Galla Placidia Sister of Honorius and Wife of Constantius III,Null,Roma,Rome,Roma (Province),Rome,Lazio,Rome,41.893859,12.485136,Archaeological Excavation,Google Maps,90%,420,417,423,420,"Last Statues of Antiquity, University of Oxford",Base,None,None,None,None,0.7,Marble,Galla Placidia,Imperial Family,Name Lost,Unknown,Null,Null,No,Null,Null
