plan,function1,function2,"Name, anglicized",Name of modern structure on top,"place, modern",Patron, Date_estimate_AD,Date_low,Date_high,Date_av,comments on dates,source,lat,,source for location,location notes,general notes,zotero,still standing,archaeology,primary written source,primary visual source,,,,
basilica,church,nul,church at Serjilla,church at Serjilla,"Serjilla, Syria",nul,450,400,500,450,approximate,Krautheimer p. 107,35.67157,36.58429,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,approx,,,remains extand until earlt 20th c,x,,,,,,
basilica,church,nul,Klaudionaus Church,Klaudionaus Church,"Umm-el-Jemal, Syria",nul,480,450,500,475,approximate,Krautheimer p. 108,32.3258,36.36982,approx,,,,,x,,,,,,
basilica with galleries,church,monastery,basilica at Umm-es-Surab,monastery of saint sergios and bacchus,Umm-es-Surab,nul,489,489,489,489,date from inscription,Krautheimer p. 108,32.4272,36.31241,https://journals.openedition.org/syria/3139,"maybe wrong church, right city",,,,x,,,,,,
basilica,chapel,church,church at Fafirtin,church at Fafirtin,"Fafirtin, Syria",nul,372,360,400,380,"date from insc, approx",Krautheimer p. 109,36.32049,36.90733,http://www.syriaphotoguide.com/home/fafertin-%D9%81%D8%A7%D9%81%D8%B1%D8%AA%D9%8A%D9%86/,"check, Butler 1920",,,,x,,,,,,
basilica,church,nul,basilica at Ksedjbeh,basilica at Ksedjbeh,"Hsedjeh, Syria",nul,414,414,414,414,date from insc,Krautheimer p. 109,35.6879,36.53917,"used location of Al Bara, may be wrong",check Butler 1920,,,,x,,,,,,
basilica,church,nul,basilica at Kharab Shems,basilica at Kharab Shems,"Kharab Shems, Syria",nul,400,400,450,425,date approx,Krautheimer p. 109,36.33925,36.94326,https://de.wikipedia.org/wiki/Kharab_Shams,,,,,x,,,,,,
basilica,church,nul,St. Paul and Moses,St. Paul and Moses,Dar Qita,nul,418,418,418,418,date from insc,Krautheimer p. 109,36.21466,36.66671,"need, http://architectureandasceticism.exeter.ac.uk/items/show/226",,,,,x,,,,,,
"basilica, octagonal baptistery",church,baptistery,church at Qalat-Siman,St Simeon Baptistery,Deir-Simaan,nul,450,400,500,450,approximate,"Krautheimer p. 111, plate 34b",36.33195,36.84317,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,not 100%,,,,x,,,,,,
basilica,church,monatery,church and parish house at Qasr-il-benat,church and parish house at Qasr-il-benat,Qasr-il-Benat,nul,425,400,450,425,approximate,Krautheimer p. 111,35.70944,36.68508,http://www.syriaphotoguide.com/home/qasr-al-banat-%D9%82%D8%B5%D8%B1-%D8%A7%D9%84%D8%A8%D9%86%D8%A7%D8%AA/,massively unclear,,,,x,,,,,,
"rectangular compound, cross shaped",martyrium,monastery,monaster of Simeon the Stylite,"Cathedral of Simeon, Qalat Simman",Deir Semaan,imperial,470,450,510,480,"approximate, based on rejuvenated classical style",Krautheimer p. 111,36.33409,36.8442,http://www.syriaphotoguide.com/home/qasr-al-banat-%D9%82%D8%B5%D8%B1-%D8%A7%D9%84%D8%A8%D9%86%D8%A7%D8%AA/,prolly correct,,,,x,,,,,,
Cross-shaped,cathedral,nul,Tourmanin church,Tourmanin church,Tourmanin,nul,500,450,550,500,approximate,Krautheimer p. 113,36.24163,36.82334,https://vici.org/vici/23973/,need to check,,,,known only from de Vogüé's drawings,,,,,,
Cross-shaped,cathedral,nul,Qalb Louzeh,Qalb Louzeh church,Qalb Louzeh,nul,500,450,550,500,approximate,Krautheimer p. 113,36.16905,36.58078,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,known only from de Vogüé's drawings,,,,,,
Cross-shaped,cathedral,nul,el-Anderin church,el-Anderin church,el-Anderin,nul,500,450,550,500,approximate,Krautheimer p. 113,35.43609,37.245,https://books.google.com/books?id=z_IBAwAAQBAJ&pg=PA350&lpg=PA350&dq=al+anderin+church+syria&source=bl&ots=zO6NRLSheZ&sig=tcXv2KS71wup2QyA9idQgVqMR3s&hl=en&sa=X&ved=2ahUKEwiC1e74y4TdAhXtY98KHW4IAI0Q6AEwDHoECAUQAQ#v=onepage&q=al%20anderin%20church%20syria&f=false,,,,,known only from de Vogüé's drawings,,,,,,
Cross-shaped,cathedral,nul,Ruweha church,Ruweha church,Ruweha,nul,500,450,550,500,approximate,Krautheimer p. 113,nul,,,,,,,known only from de Vogüé's drawings,,,,,,
Basilica,church,nul,Basillica B,Basillica B,Resafah sergiopolis,nul,490,480,500,490,stylistic,Krautheimer p. 113,35.62812,38.75983,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,"approx, cf. https://vici.org/vici/23951/",,,,x,,,,,,
Basilica,church,nul,St. Sergius,"St. Sergius, Basilica A",R'safah-sergiopolis,nul,510,500,520,510,stylistic,Krautheimer p. 113,35.62761,38.75625,https://drive.google.com/a/fordham.edu/open?id=1wm1Lo7GK8GJmXQMrLaTHoqQyB4Dz-m6G&usp=sharing,,,,,,,,,,,
Cross-shaped,church,nul,church of gaza,Omari Grand Mosque,"Gaza, Palestine",Empress Eudokia,401,401,401,401,literary source,Krautheimer p. 117,31.5043,34.46441,https://tools.wmflabs.org/geohack/geohack.php?pagename=Great_Mosque_of_Gaza&params=31_30_15.13_N_34_27_52.08_E_region:IL_type:landmark,,,,no,no,Mark the Deacon,,,,,
Cross-shaped,church,nul,"Church of the Prophets, Apostles and Martyrs","Church of the Prophets, Apostles and Martyrs",Jerash,nul,465,465,465,465,check,Krautheimer p. 117,,,,,,,ruined city,Kraeling,,,,,,
Cross-shaped,church,nul,St. Stephen,St. Stephen,Jerusalem,Empress Eudokia,440,437,460,449,check,Krautheimer p. 117,,,,,,,,x,x,,,,,
basilica,church,nul,basilica at Evron,basilica at Evron,"Evron, Israel",nul,415-492,415,492,454,mosaic pavements date building phases precisely,Krautheimer p.118,,,,,,,,,,,,,,
basilica,church,nul,St. Theodore,St. Theodore,Jerash,nul,494-496,494,496,495,check,Krautheimer p.118,,,,,,,,,,,,,,
"basilica, reduced cross transept",church,nul,Basilica at Et-tabgha,Basilica at Et-tabgha, Et-tabgha,nul,500,480,520,500,approximate,Krautheimer p.118,,,,,,,,x,,,,,,
basilica,church,nul,church at Sbeita,church at Sbeita,"Sbeita, Negev, Israel",nul,510,490,530,510,approx,Krautheimer p. 119,,,,,,,,x,,,,,,
basilica,cathedral,nul,basilica cathedral Gerash,basilica cathedral Gerash,Jerash,nul,400,380,420,400,stylistic approx,Krautheimer p. 119,,,,,,,,kraeling,,,,,,
Cross-shaped,church,nul,church of the baptist,church of the baptist,Jerash,nul,520,510,530,520,check,check,,,,,,,,kraeling,,,,,,
basilica,church,nul,Gensius church,Genesius church,Jerash,check,611,611,611,611,inscription,Krautheimer p. 120,,,,,,,,kraeling,,,,,,
Octagonal ,church,martyium?,octagonal structure,octagonal church at Hierapolis,Pammukkale,nul,420,400,450,425,approx,Krautheimer p. 121,,,,,perhaps martyrium of apostle philipp,,,x,,,,,,
hall,church,nul,hall church,hall church,Pammukkale,nul,410,400,420,410,archaeological strata,Krautheimer p. 121,,,,,civic building re-purposed,,,x,,,,,,
hall,church,nul,check,check,Pammukkale,nul,535,520,545,533,archaeological,krautheimer p. 121,,,,,,,,x,,,,,,
basilica,church,nul,check,check,Kayseri,nul,525,500,550,525,archaeological,krautheimer p. 121,,,,,,,,x,,,,,,
basilica,church,nul,basilica 32 binbirkilisse,basilica 32 binbirkilisse,binbirkilisse,nul,550,500,600,550,approximate,krautheimer p. 123,,,,,,,,x,,,,,,
basilica,church,nul,basilica at Eski Andaval,basilica at Eski Andaval,Eski Andaval,nul,550,500,600,550,approximate,krautheimer p. 123,,,,,,,,x,,,,,,
"basilica, transept",church,nul,Tomarza,Tomarza,Panaghia,nul,550,500,600,550,approximate,krautheimer p. 123,,,,,,,largely extant until 1921,x,,,,,,
basilica,church,monastery,church at Pesek,church at Pesek,Büslük Fesek,nul,550,500,600,550,approximate,krautheimer p. 123,,,,,,,,x,,,,,,
basilica with octagonal crossing tower,church,nul,church near Sivrihisar,church near Sivrihisar,Sivrihisar,nul,550,500,600,550,approximate,krautheimer p. 123,,,,,,,,x,,,,,,
octagonal,church,nul,octagonal church binbirkilisse,basilica 32 binbirkilisse,binbirkilisse,nul,600,550,650,600,approximate,krautheimer p. 124,,,,,,,,x,recalls one described by gregory of nyssa,,,,,
octagonal,church,nul,octagonal church near Soasa,octagonal church near Soasa,Soasa,nul,550,500,600,550,approximate,krautheimer p. 124,,,,,,,destroyed,x,,,,,,
aisle with horshoe apse and polygonal exterior,church,nul,church at Kücük Büyüngü,church at Kücük Büyüngü,Kücük Büyüngü,nul,500,480,520,500,approximate,krautheimer p. 124,,,,,photo in ency italiana,,destroyed 1954,0,,,,,,
basilica,church,nul,S. Sabina,S. Sabine,Rome,nul,422-432,422,432,427,check,krautheimer p. 129,,,,,,,rennovatd,x,beginning of classical renaissance under Sixtus III,,,,,
basilica,church,nul,S. Clemente,S. Clemente,Rome,nul,380,360,400,380,approximate,krautheimer p. 127,,,,,,,12th century remodel,x,,,,,,
basilica,,,S. Sisto Vecchio,,,,,,0,,,,,,,,,,,,,,,,,
basilica,,,S. Pudenziana,,,,,,0,,,,,,,,,,,,,,,,,
basilica,,,S. Anastasia,,,,,,0,,,,,,,,,,,,,,,,,
basilica,,,SS. Giovani e Paolo,,,,,,0,,,,,,,,,,,,,,,,,
basilica,,,S. Lorenzo in Lucina,,,,,,0,,,Krautheimer p. 93,,,,,,,,,,,,,,
basilica,,,S. Vitale,,,,,,0,,,Krautheimer p. 94,,,,,,,,,,,,,,
basilica,church,nul,S. Pietro in Vincoli,S. Pietro in Vincoli,Rome,nul,ca.450,400,480,,dated by remodel,Krautheimer p. 95,,,,,nave remodelled 450,,extant,x,,,,,,
basilica,church,nul,S. Agata dei Goti,S. Agata dei Goti,Rome,nul,462-470,462,470,466,check,Krautheimer p. 130,,,,,,,,,,,,,,
basilica,,,S. Marcello,,,,,,0,,,,,,,,,,,,,,,,,
basilica,,,Quattro Coronati,,,,,,0,,,,,,,,,,,,,,,,,
basilica,,,St. Stefano,,"Via Latina, Roma",,,,0,,,,,,,,,,,,,,,,,
basilica,,,Basilica of Pammachius,,Ostia,,,,0,,,,,,,,,,,,,,,,,
basilica,church,check,St. Ambrose,St. Ambrogio,Milan,nul,385,385,385,385,dated by death of St. Ambrose,Krautheimer p. 131,,,,,,,beneath modern St. Ambrogio,x,,,,,,
trapezoidal domed room,martyriam,nul,St. Victor Martrium,St. Ambrogio,Milan,nul,500,480,520,500,dated stylistically,Krautheimer p. 131,,,,,,,beneath modern St. Ambrogio,,,,,,,
basilica,church,nul,SS. Felice e Fortunato,SS. Felice e Fortunato,Vicenza,nul,450,400,500,450,approximate,Krautheimer p. 131,,,,,,,,,,,,,,
Cross-shaped,chapel,nul,unkown,chapel in SS. Felice e Fortunato,Vicenza,nul,450,400,500,450,approximate,Krautheimer p. 131,,,,,,,,,,,,,,
basilica,cathedral,nul,Church of the Holy Apostles,Church of the holy apostles,Verona,nul,,,0,,,,,,,,,,,,,,,,,
basilica,cathedral,nul,check,check,Brescia,nul,,,0,,,,,,,,,,,,,,,,,
basilica,church,nul,Santa Trinita,Santa Trinita,Vercelli,,,,0,,,,,,,,,,,,,,,,,
Cross-shaped,martyrium,nul,S. Prosdocimo,S. Prosdocimo,padua,nul,500,450,550,500,approximate,Krautheimer p. 132,,,,,,,well restored,check,,,,,,
unknown,church,nul,S. Giustina,S. Giustina,padua,nul,400,300,500,400,approximate,Krautheimer p. 132,,,,the church the Prodiscimo martyrium was attached to,,,,x,,,,,,
Cross-shaped,church,nul,S. Teuteria,S. Teuteria,Verona,nul,400-500,400,500,450,approximate,Krautheimer p. 132,,,,the chapel next to the basilica of the holy Apostles,,,,,,,,,,
basilica,church,martyrium,"S. Euphemia, Chalcedon",S. Euphemia,Kadiköy,nul,400-450,400,450,425,approximate,Krautheimer p. 132,,,,,,,,x,,,,,,
octagon,martyrium,nul,San Vitale,San Vitale,Ravenna,check,c. 500,500,450,475,approximate,Krautheimer p. 132,,,,,,,,,,,,,,
"basilica, octagonal baptistery",church,baptistery,Baptistery of the Arians,Baptistery of the Arians,Ravenna,check,late 5th,450,500,475,approximate,Krautheimer p. 132,,,,,,,,x,,,,,,
basilica,cathedral,nul,unkown,unk,Pola,check,fifth,400,480,440,approximate,Krautheimer p. 134,,,,,,,,,,,,,,
double basilica,cathedral,nul,Basilica episcopalis and basilica urbana,Basilica episcopalis and basilica urbana,Salona,check,350-426,350,426,388,"approximate for south, north has precise date",Krautheimer p. 134,,,,,"south, is earlier",,,,,,,,,
basilica,church,nul,S. Giovanni Evangelista,S. Giovanni Evangelista,Ravenna,Gallia Placida,424-434,424,434,429,literary and via Gallia Placidia,Krautheimer p. 138,,,,,,,several remodellings,x,,,,,,
basilica,church,nul,S. Spirito,S. Spirito,Ravenna,nul,end of 5th,450,500,475,style and strata,Krautheimer p. 138,,,,,built on earlier Arian basilica,,,x,,,,,,
basilica,church,nul,S. Agata,S. Agata,Ravenna,nul,completed 6th,550,600,575,approximate,Krautheimer p. 138,,,,,,,,x,,,,,,
basilica,church,nul,S. Apollinare Nuovo,S. Apollinare Nuovo,Ravenna,Theodoric,490,490,490,490,literary,Krautheimer p. 138,,,,,,,,check,,,,,,
basilica,church,nul,,,Tipasa,nul,,,0,,,,,,,,,,,,,,,,,
basilica,chuch,nul,basilica Damous el Karita,basilica Damous el Karita,"Damous el Karita, Carthage",nul,last third of fourth,350,400,375,archaeology,Krautheimer p. 144,,,,,,,,x,,,,,,
basilica,church,nul,basilica at Cuicul,basilica at Djemilia,Djemilia,nul,prior to 400,380,400,390,archaeology,Krautheimer p. 142,,,,,,,,x,,,,,,
basilica,church,nul,larger basilica at Cuicul,larger basilica at Djemilia,Djemilia,Bishop Cresconius,411,411,411,411,"archaeology, literary",Krautheimer p. 142,,,,,,,,x,,,,,,
"basilica, court",church,monastery,church at Tebessa,church at Tebessa,Tebessa,unk,fourth and sixt,400,600,500,archaeology,Krautheimer p. 143,,,,,,,,x,,,,,,
basilica,church,nul,great church at Tigzirt,great church at Tigzirt,Tigzirt,nul,early fifth,400,430,415,archaeology,Krautheimer p. 145,,,,,,,,x,,,,,,
basilica,church,nul,St. Gennaro extra moenia,St. Gennaro extra moenia,Naples,nul,ca. 400,370,420,395,archaeology,Krautheimer p. 146,,,,,,,,check,,,,,,
basilica,church,nul,S Giorgio Maggiore,S Giorgio Maggiore,Naples,nul,"begun early fifth,mostyl sixth",400,520,460,"archaeology, style",Krautheimer p. 147,,,,,,,check,x,,,,,,
basilica,church,nul,S. Maria di Capua Vetere,S. Maria di Capua Vetere,Vetere,nul,fifth century core,400,500,450,"archaeology, style",Krautheimer p. 147,,,,,,,,x,,,,,,
basilica,church,nul,S. Restituta,S. Restituta,Naples,nul,check,500,500,500,,,,,,date unsure,,,,check,,,,,,
basilica,church,nul,S. Pedro de Alcantara,S. Pedro de Alcantara Vega del Mar,"Vega del mar, between Gibraltar and Malaga",nul,after 365,365,400,383,archaeology,Krautheimer p. 147,,,,,,,,x,,,,,,
basilica,church,nul,basilica of Tarragona,basilica of Tarragona,"Tarragona, Catalonia, Spain",nul,after 409,409,440,425,archaeology,Krautheimer p. 147,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,
Type,,,"Name, anglicized",Name of modern structure on top,"place, modern",Imperial patron?," Date, AD",Date_low,Date_high,Date_av (rounded to whole number),comments on dates,source,lat,,source for location,location notes,general notes,zotero,still standing,archaeology,primary written source,primary visual source,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,To-do,,To follow up,,,,,,,,,,,,,,,,,,,,
,,,,"Split location into Street, City, Country",,4 churches in Thebes,,,,,,,,,,,,,,,,,,,,
,,,,Replace checks with data,,3 churches in Corinth,,,,,,,,,,,,,,,,,,,,
,,,,Add references to how do we know section,,2 churches in Nikopolis Epirus,,,,,,,,,,,,,,,,,,,,
,,,,Regularize type vocab,,rural syria,,,,,,,,,,,,,,,,,,,,
,,,,,,"1 churches in Salonica, not the ones above",,,,,,,,,,,,,,,,,,,,
,,,,,,2 churches at Sbeita Negev,,,,,,,,,,,,,,,,,,,,
,,,,,,basilica at emmaus,,,,,,,,,,,,,,,,,,,,
,,,,,,Ras as Siagha mt nebo,,,,,,,,,,,,,,,,,,,,
,,,,,,9 churches at Gerasa,,,,,,,,,,,,,,,,,,,,
,,,,,,"churches in syrian villages, thousand one churches, krautheimer p. 121-2",,,,,,,,,,,,,,,,,,,,
,,,,,,Grado,,,,,,,,,,,,,,,,,,,,
,,,,,,Frejus,,,,,,,,,,,,,,,,,,,,
,,,,,,Albenga,,,,,,,,,,,,,,,,,,,,
,,,,,,marseille,,,,,,,,,,,,,,,,,,,,
,,,,,,aix en provence,,,,,,,,,,,,,,,,,,,,
,,,,,,dozen churches in salona,,,,,,,,,,,,,,,,,,,,
,,,,,,"dozen churchs, ravenna",,,,,,,,,,,,,,,,,,,,
,,,,,,Tunisia,,,,,,,,,,,,,,,,,,,,
,,,,,,Libya,,,,,,,,,,,,,,,,,,,,
,,,,,,Cyrenaica,,,,,,,,,,,,,,,,,,,,
,,,,,,Cross-shaped,cathedral,nul,Kerratin church,Kerratin church,Kerratin,nul,500,,550,275,approximate,Krautheimer p. 113,,,,,,,,known only from de Vogüé's drawings