NameModern,NameAncient,LocationAncient1,LocationAncient2,LocationAncient3,LocationModern1,LocationModern2,LocationModern3,Latitude,Longitude,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,Date Low,Date High,Date Decision,Text,Translation,Subject,Dedicator,Reason,Subject Status,Language,Church?,Notes1,Notes2,Notes3,Citation1,Citation2
St. Lawrence-in-Damaso,S. Laurentii in Damaso,Rome,St. Lawrence-in-Damaso,,Rome,St. Lawrence-in-Damaso,,41.896872,12.472008,,Wikipedia,100%,469,469,469,469,Quisquis plena domino mysteria menta requiris / huc accede domus religiosa patet / Haec sunt tecta pio semper devota timori / auditumque deus commodat hic precibus / ergo laetiferos propera compescere sensus / iam opera sacras laetus adire fores / ut transacta queas deponere crimina vites / et quicquid scelerum noxius error habet / Attica Felicis Magni calrissima coniunx / sumptibus hoc propriis aedificavit opus. ,"Whoever seeks mysteries with a mind full of the lord, / come here, the house of religion lies open./ These rooms are always devoted to pious awe / and here God gives ear to our prayers. / Hasten, therefore, to curb your gleeful passions; / take care now to approach the sacred portals gladly / so that you can cast off the sins you have committed / and avoid whatever evils that noxious error entails. / Attica, the most distinguished wife of Magnus Felix, / constructed this monument at her own expense.  ","Attica, wife of Magnus Felix of Gaul",Attica,To acknowledge contribution to work on Church,Aristocracy,Latin,Yes,,,,"People, Personal Expression, and Social Relation in Late Antiquity",
"Budapest, Hungary",Aquincum,Aquincum,on a pedestal,,"Budapest, Hungary",,,47.564167,19.049444,inscription on a pedestal found at Aquincum,"Hubner's Exempla, no. 593",20%,270,270,270,270,"Imperatori Caesari M. / Aurelio Claudio / Germanico / Pio felici invicto / Augusto pontifici maximo / tribunicia potestate / III, consuli pro / consuli, patri patriae, legio II / Adiutrix VI pia VI fidelis / Constans / Claudiana, / numini ma / iestatique / eius / dicatissima","Emperor Caesar Marcus Aurelius Claudius, Lucky in battle against Barbarians, supreme high priest Augustus, power of a tribune, before consul, see the father of the fatherland, consul, rescuer second legion Loyal and Faithful, constant, but acknowlege and bow, he is the most dedicated.",Inscription honoring Claudius Gothicus,,Claudius defeated the goths at the battle of naissus,Emperor,Latin,No,,,,Introduction to the Study of Latin Inscriptions,
Emporium in Rome,Emporium in Rome,Rome,Emporium,on a block of Carystian Marble,The Vatican,,,41.874083,12.471717,"on a block of Carystian marble, now in Lateran Museum","Hubner's Exempla, no. 1160",100%,173,173,173,173,L. Aelio / Caesare nostro II et Balbino consulibus rationis urbicae sub cura Irenaei / Augusti liberti procuratoris caesura Tulli / Saturnini centurionis legionis XXII Primigeniae,"our Emperor and consul of the city with the care Irenee / Augustus freed attorney caesum MT / Saturn centurion of the legion, 22 Primigeniae",Emperor,the city,Dedication to emperor and consul,Emperor and Consul,Latin,no,"Book cited it as being in the Lateran museum, but the contents of that museum were moved to the vatican in 1970",,,Introduction to the Study of Latin Inscriptions,
Capitoline,Capitoline,Rome,Capitoline,,Rome,Capitoline,,41.893333,12.483056,A large marble base of equestrian statue,Wikipedia,100%,352,352,352,352,"Restitutori urbis Romae adque orbis / et extinctori pestiferae tyrannidis / domino nostro Flavio Iulio Constantio, victori ac triumfatori / semper Augusto / Neratius Cerealis, vir clarissimus, praefectus urbi / vice sacra iudicans, devotus numini maiestatique eius","To the restorer of the city of Rome and of the world, and the destroyer of a pernicious tyrant, our Lord Flavius Iulius Constantius, victor and conquerer, ever Augustus: Neratius Cerealis, of senatorial rank, prefect of the city and deputy-judge of imperial appeals, in devotion to his divine nature and majesty.  ",A dedication to the Emperor Constantius II,"Neratius Cerealis, prefect of the city of Rome","Defeated the tyrant Magnentius, pagan rival of emperor",Emperor,Latin,No,,,,Class notes,
Column of Trajan,Column of Trajan,Rome,Column of Trajan,,Rome,Column of Trajan,,41.895833,12.484167,Southeast side of the square marble base,Wikipedia,100%,113,113,113,113,"Senatus Populusque Romanus / Imperatori Caesari divi Nervae Filio Nervae / Traiano Augusto Germanico Dacico, pontifici / maximo, tribunicia potestate, imperatori consuli, patri patriae / ad declarandum quantae altitudinis / mons et locus tantis operibus sit egestus","The Senate and the People of Rome, to the emperor Trajan, in order to make clear how high a hill and area were removed for such great works. ",dedication of gratitude to the emperor Trajan,SPQR,making the Forum level,Emperor,Latin,No,,,,Class notes,
Obelisk of Theodosius I,Obelisk of Theodosius I,Rome,Obelisk of Theodosius I,,Rome,Obelisk of Theodosius I,,41.0059,28.975397,Southeast pedestal,Wikipedia,100%,390,390,390,390,"DIFFICILIS QVONDAM DOMINIS PARERE SERENIS
IVSSVS ET EXTINCTIS PALMAM PORTARE TYRANNIS
OMNIA THEODOSIO CEDVNT SVBOLIQVE PERENNI
TER DENIS SIC VICTVS EGO DOMITVSQVE DIEBVS
IVDICE SVB PROCLO SVPERAS ELATVS AD AVRAS","Formerly difficult, I was ordered to obey the peaceful masters and to raise the palm after the tyrants were dead. Everything gives way to Theodosius and his eternal offspring. In this way conquered and mastered in three times ten days, under Proclus the Prefect, I was raised to the high air. ",Dedication of gratitiude Theodosius and Proclus.,Theodosius and Proclus,erecting the obelisk.,Emperor and Prefect,Latin,No,,,,Class notes,
Obelisk of Theodosius I,Obelisk of Theodosius I,Rome,Obelisk of Theodosius I,,Rome,Obelisk of Theodosius I,,41.0059,28.975398,Southwest pedestal,Wikipedia,100%,390,390,390,390,"KIONA TETPAΠΛEYPON AEI XΘONI KEIMENON AXΘOC
MOYNOC ANACTHCAI ΘEYΔOCIOC BACIΛEYC
TOΛMHCAC ΠPOKΛOC EΠEKEKΛETO KAI TOCOC ECTH
KIΩN HEΛIOIC EN TPIAKONTA ΔYO","This column with four sides which lay on the earth, only the emperor Theodosius dared to lift again its burden; Proclos was invited to execute his order; and this great column stood up in 32 days.",Dedication of gratitiude Theodosius and Proclus.,Theodosius and Proclus,erecting the obelisk.,Emperor and Prefect,Byzantine Greek,No,,,,Class notes,
Epitaph of Iunius Bassus,Epitaph of Iunius Bassus,Rome,Basilica of St. Peter's,near the Confessio,Rome,Basilica of St. Peter's,Under the Grotte Vecchie,41.902222,12.453333,,Wikipedia,100%,359,359,359,359,"IUNIUS BASSUS, VIR CLARISSIMUS, QUI VIXIT ANNIS XLII, MENSIBUS II; IN IPSA PRAEFECTURA URBI, NEOFITUS, IIT AD DEIUM VIII KALENDAS SEPTEMBRES, EUSEBIO ET HYPATIO COSS. ","Iunius Bassus, of senatorial rank, who lived 42 yrs., 2 mos.; during his very prefecture of the city, a new convert, he went to God, Aug. 25, in the consulship of Flavius Eusebius and Flavius Hypatius. ","Epitaph of Iunius Bassus, nobleman and prefect of the city. ",Iunius Bassus,Epitaph,Prefect,Latin,yes,,,,Illustrated Introduction to Latin Epigraphy,
Epitaph of a Christian Lector,Epitaph of Equitius Heraclius,Rome,Christian cemetary,Front of sarcophagus,Vatican,Lapidario Cristiano ex Lateranense,,41.879028,12.549083,archeological excavation in 1720,Wikipedia,50%,338,338,338,338,"Equitius Heraclius, qui fuit in saeculum annis XVIIII mensibus VII, diebus XX lector regionis secundae Parentes fecerunt sibi et filio suo benemerenti. In pace decessit VII Irus Februarias Urso e Polemio conss.","Eq. Heraclius, who was in the wicked world 19 years, 7 mos, 20 days, a lector of the second region of Rome. His parents have made this tomb for themselves. and their estimable son. He died in peace Feb 7, in the consulship of Ursus and Polemius. ","Heraclius, lector of Rome's second region",His parents,Epitaph,Lector,Latin,yes,,,,Illustrated Introduction to Latin Epigraphy,
Commemoration of a Roman Public Official,Commemoration of a Roman Public Official,Aquileia ,Italy,Statue base of white marble,Museum Archeologico Nazionale,in the lapidario in the garden ,,45.769725,13.371192,found 1805,Wikipedia ,50%,122-124,122,124,123,"Aulo Platorio Auli filio tribu Sergia Nepoti Aponio Italico Manilano Gaio Licinio Pollini, consuli, auguri, legato Augusti pro praetore provincieae Brittaniae legato pro praetore provinciae Germaniae Inferioris leg. pro pr. provinc. Thraciae, legato legionis I Adiutricis, quaestori provinc. Macedoniae, curatori viarum Cassiae, Clodiae, Ciminiae, Novae Traianae, candidato divi Traiani, tribuno militum legionis XXII Primigeniae Piae Fidelis, praetori, tribuno plebis, IIIvirto capitali; patroo: decurionum decreto.","To Aulus Platorius Nepos Aponius Italicus Manilianus Gaius Licinius Pollio, son of Aulus, of the tribe Sergia, consul, augur, Imperial governor of the province of Britain, governor of the province of Lower Germany, governor of the province of Thrace, commander of the 1st Adiotrix legion, quastor of the province of Macedonia on the recommendation of the deified Trajan, supervisor of the Via Cassia, the Via Clodia, the Via Ciminia, and the Via Nova Traiana; military tribune of the 22nd Primigenia legion, praetor, patron, bu decree of the town councillors. ",Aulus Platorius Nepos Aponius Italicus Manilianus Gaius Licinius Pollio,Set up by decree of the local decurions,In honor of a patron. ,Patron,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
Dedication of Statue Base to Stilicho,,Rome,Near the Corso and Piazza Colonna,,Pal. dei Conservatori,Rome,,41.901056,12.479917,Found in rome in 1925 at depth of m. 2.50,wikipedia,50%,400-404,400,404,402,"Flavi Stilichonis viri clarissimi. Flavio Stilichoni, v.c. et inlustri magistro utriusque militiae et consuli ordinario pro virutum veneratione inter cetera beneficia quae per eum urbi Romae delata sunt caudicarii seu piscatores corporati urbis Romae per quos amnicis navigiis alimenta urbi devehuntur hoc montmentum aurem quod Gildone hoste publico devicto alimoniis Roman refecerit","Statue of Flavius Stilicho, of senatorial rank. In honor of Fl. Stilicho, vc and inlustris, Master of Both Services (Horse and Foot), and consul ordinary, out of high regard for great deeds, among other benefits which have been conferred through him upon the city of Rome, the river-boatmen or the associated fishermen of the city of Rome through whom food supplies are conveyed to the City in river boats, have set up this gilded memorial because of his having replenished Rome with food supplies by subduing Gildo, public enemy...",Flavius Stilicho,Fishermen,Gratitude for Stilicho feeding fishermen,Senator,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
Commemoration of Three Emperors,,Rome,Between the Column of Phocas and the Arch of Sept Severus,null,null,null,null,41.892758,12.484744,found in 1880 in the roman forum,Wikipedia,50%,402-406,402,406,404,"Fidei virtutique devotissimorum militum domnorum nostrorum, Arcadi, Honori, et Throdosi, perennium Augustorum, post confectum Gothicum bellum felicitate aeterni principis domni nostri Honori, consiliis et fortitudine inlustris viri, comitis et [erased erased] Senatus Populusque Romanus, curante Pisidio Romulo, viro clarissimo, praefecto urbi vice sacra iterum iudicante","To the honor and virtue of the most devoted soldiers, Our Lords Arcadius, Honorius, and Theodosius, perpetual Augusti, after the ending of the Gothic War through the good fortune of the lifelong ruler, Our Lord Honorius, and the policy and bravery of the illustrious Comes and [Master of the Horse and Foot,] in immediate attendance on the emperor: The Senate and People of Rome, in preparation of this monument being in the hands of Pisidius Romulous, prefect of the City and deputy in charge of judging imperial appeals. ","Arcadius, Honorius, Theodosius",SPQR,To celebrate Honorius ending a Gothic war with the assistance of Stilicho (who was later erased after his execution),Emperor,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
Epitaph of a Christian Child,,Rome,cemetery of Commodilla,,Vatican,Lapidario Cristiano ex Lateranense,null,41.886667,12.48,null,wikipedia,100%,408,408,408,408,"Innocus puer, nomine Widdi, hic bixit meses quator, dies biginti quator, petitus in pace III idus Aprilis, anicio Auchenio Baso consule","An innocent boy by the name of Siddus lived here four months, 24 days,  summoned to Christian peace, April 11, in the consulship of Anicius Achenius Bassus. ",Siddus,Parents,Epitaph,Christian Child,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
Dedication of a Statue Base to a High official,,Rome,"The Aventine, 20 m east of the Via di S. Sabina, and near remains of the house in which it orignally stood. ",Base of statue of Iunius Quartus Palladius,Rome,"The Aventine, 20 m east of the Via di S. Sabina, and near remains of the house in which it orignally stood. 
",Base of statue of Iunius Quartus Palladius,41.883333,12.483333,Found in Rome in 1926,Wikipedia,75%,421 or later,421,421,421,"Iunii Quarti Palladii, viri clarissimi. Amplissimorum honorum magnitudine et nobilitate conspicuo, Iunio Quarto Palladio, clarissimo et inustri viro, avorum honores supergresso et diu in republica preservanti, praetori et quaestori kandidato, notario et tribuno, comiti sacrarum largitionum, praefecto praetorii per annos sex Illyrici, Italiae, et Africae consuli ordinario, legato senatus amplissimi quarto eius statuam, ob egregiam propinquitatus affectionem, ad decorem domus, germanus eius inter se ac suos locari constituique ius habuit.","Statue of Iunius Quartus Palladius. To one notable for the greatness and renown of his magnificent public offices, Iunius Quartus Palladius, and inlustris, who has surpassed his ancestors in repsect to pulic career and was untiring in civic affairs, praetor and quaestor as a nominee, notary and tribune, head of the Imperial treasury, praetorian prefect, for six years, of Illyricum, Italy, and Africa, consul ordinary, envoy of the most distinguished senate four times, a statue of him, because of strong affection arising from kinship and for the adornment of the house, his brother has considered it proper to be placed and set up among himself and his family. ",Iunius Quartus Palladius,Brother,"Ornament to house, token of affection to his brother, praef. praet.",Praefect Praetor,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
Epitaph of a Christian Boy,,Rome,Suburban Christian Catacomb,,Rome,Vatican,Lapidario Cristiano ex Lateranese,41.904722,12.454444,Discovered in storeroom in Vatican Library in 1949,Wikipedia,25%,471,471,471,471,"Calumnios in pace; vixit annis VI, mensibus VIII diebus XXII depositus IIII Nonas Septembres, probiano consule","Calumniosus in peace, he lived 6 years, 8 mos, 22 days; buried Sept. 2, in the consulship of Probianus. ",Calumnios,Parents,Epitaph,Christian Boy,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
"Epitaph of Maxima, ""Handmaid of Christ""",,Rome,outside Porta Maggiore,,Rome,Museum Nazionale,Galleria XXXVIII,41.891512,12.515144,Found in 1909,wikipedia,100%,525,525,525,525,"✝︎ Hic requiescit in pace ancilla Christi Maxima, quae vixit annis plus minus XXV; deposita VIIII Kalendas Iulias, Flavio Probo Iuniore, viro clarissimo, consule; quae fecit cum maritum suum annis VII mensibus VI, amicabilis, fidelis in omninus, bona, prudens.","Here lies in peace a handmaid of Christ, Maxima, who lived about 25 years; buried June 23 in the consulship of Flavius Probus Iunior, she lived with her husband 7 years, 6 mos., friendly, loyal in all respects, good, prudent. ",Maxima,Husband,Epitaph,Christian,Latin,no,,,,Illustrated Introduction to Latin Epigraphy,
The Docilianus tablet,,Britannia,Uley,Temple of Mercury,United Kingdom,"Uley, Gloucestershire",,51.695677,-2.305694,found in 1978 at the temple of Mercury,pleiades,100%,340,340,340,340,"deo Mercurio, Docilinus QVAENM Varianus et Peregrinanet Sabinianus qui pecori meo dolum malum intulerunt et INT.RR. prolocuntur rogo te ut eos maximo leto adigas neceis sanitatem nec somnum perm[itt]as nisia te quod mihi administraverint redemerint","To the god Mercury (from) Docilinus . . . Varianus and Peregrina and Sabinianus who have brought evil harm on my beast and are . . . I ask you that you drive them to the greatest death, and do not allow them health or sleep unless they redeem from you what they have administered to me.",Varianus and Peregrina and Sabinanus,Docilinus,Curse Tablet (pagan),Roman Citizen,latin,no,,,,"Becoming Roman, Writing Latin?",
Uley Tablet,,Britannia,Uley,Temple of Mercury,United Kingdom,"Uley, Gloucestershire",,51.695677,-2.305694,found in 1978 at the temple of Mercury,pleiades,100%,350-380,350,380,365,Biccus dat Mercurio quidquid perdidit si vir si mascel ne meiatne cacetne loquatur ne dormiatne vigilet nec salutem nec sanitatem nessi in templo Mercurii pertulerit ne conscientiam de perferat nessin me intercedente,"Biccus gives Mercury whatever he has lost (that the thief), whether man or male (sic), may not urinate nor defecate nor speak nor sleep nor stay awake nor [have] well-being or health, unless he bring (it) in the temple of Mercury; nor gain consciousness (sic) of (it) unless with my intervention",Mercury,Biccus,Curse Tablet (pagan),Roman Citizen,Vulgar Latin,Np,,,,"Becoming Roman, Writing Latin?",
Tab. Sulis,,Britannia,Bath,Sulis Minerva Temple,United Kingdom,Bath,,51.3809,-2.3595,Excavated between 1978-1983,Wikipedia,100%,4th Century,301,400,350,Basilia donat in templum Martis anilum argenteum si servus si liber medius fuerit vel aliquid de hoc noverit ut sanguine et liminibus et omnibus membris configatur vel etiam intestinis excomesis omnibus habeat is qui anilum involavit vel qui medius fuerit. ,"Basilia gives to the temple of Mars her silver ring. If anyone is involved or knows anything about it, whether slave or free, may he be accused in his blood and eyes and every limb, or even have all his guts eaten away, if he has stolen the ring or is involved. ",Mars,Basilia,Curse Tablet (pagan),Roman Woman,Vulgar Latin,No,,,,"Becoming Roman, Writing Latin?",
Tab Sulis 10,,Britannia,Bath,Sulis Minerva Temple,United Kingdom,Bath,,51.3809,-2.3595,Excavated between 1978-1983,Wikipedia,100%,4th Century,301,400,350,Docilianus Bruceri deae sanctissimiae Suli devoveo eum qui caracellam! involaverit si vir si femina si servus si liber ut eum dea Sulis Maximo letum! adigat nec ei somnum permittat nec natos nec nascentes donec caracallam meam ad templum sui numinis pertuerit. ,"Docilianus son of brucetus to the most holy goddess Sulis. I devote him who has stolen my hooded cloak, whether man or woman, whether slave or free. May the goddess Sulis inflict him with the greatest death, and not allow him children now nor in the future, until he has brought my hooded cloak to the temple of her divinity. ",Sulis Minerva,Docilianus,Curse Tablet (pagan),Roman citizen,Vulgar Latin,No,,,,"Becoming Roman, Writing Latin?",
The Caerleon Tablet,,Britannia,Wales,Caerleon,United Kingdom,Wales,"Caerleon, Gwent, National Roman Legion Museum,",51.6081,-2.9569,found during excavations of the amphitheatre by Sir Mortimer Wheeler in 1926 and 1927.,Atlas Obscura,100%,1st-4th centuries,100,400,250,Donna Nemesis do tibi palleum et Galliculas qui tulit non redimat nisi vita sanguine sua.,"Lady Nemesis, I give thee a cloak and a pair of boots; let him who took them not redeem them unless with his life and blood.",Lady Nemesis,Roman Soldier,Curse Tablet (pagan),Roman Soldier,Vulgar Latin,No,,,,"Becoming Roman, Writing Latin?",
Cursed Amulet Tablet,,Tragurium,Dalmatia,,Yugoslavia,Split,,43.51,16.45,,Wikipedia,50%,6th century CE,400,500,450,"✝︎In nomine domini Ieso Christi denontio tibi inmondissime spirete tartaruce, quem angelus Gabriel io te ordrnavit, ut silvestria loca collamontia opteneris aut iunc demum ore sine grauedene invoceris. Vede ergo inmondissime spirete tartaruce ut ubicoiqtia nomen domini audiveris vel scripturam cognoveris, nonpossis ubi vellis nocere. Iante habias Iordanis fluvioquem transire non potuisti; requesitus quare transire non potuisti dixisti quia ibi ignisa ganea ignifera et ubi conqua Conqua semper tibi ignisa ganea ignifera corrat. 
denontio tibi per domino meum: cave te ✝︎✝︎✝︎","✝︎ in the name of the Lord, Jesus Christ, I denounce you, most foul spirit of Tartarus, whom the angel Gabriel bound with burning fetters, you who hold ten thousand barbarians, came to Galilee after the resurrection. There Christ commanded that you be kept in the hilly, mountainous wild places and only from that hour on to be invoked without difficulty. Therefore see, most foul spirit of Tartarus, that wherever you hear the name of the Lord or recognize the scripture, you are not able to harm when you wish. In vain you hold the Jordan River which you have not been able to cross. When asked how you are not able to cross, you said, because it runs there to the fire (which comes) from fiery hell, and for you everywhere and always, may it run to the fire from fiery hell. I denounce you through my Lord. Beware! ✝︎✝︎✝︎",Tartarus,Unknown,Curse Amulet (Christian,Unknown,Vulgar Latin,No,,,,"Curse Tablets and Binding Spells from the Ancient World
","Antike Fluchtafeln
by Richard Wünsch"
